           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -105            -22.4              300       0.16911308      -0.20684564       0.04925013       -0.0530858    -0.0021608607     0.0031212342
       -104.53125            -22.4              300       0.17375417      -0.21292129      0.052818831     -0.058296666    -0.0022321718     0.0032402868
        -104.0625            -22.4              300       0.17847005      -0.21905756      0.056652244     -0.063868314    -0.0023029717      0.003354308
       -103.59375            -22.4              300       0.18326052      -0.22525646      0.060770601     -0.069821015    -0.0023965104     0.0034973708
         -103.125            -22.4              300       0.18812555        -0.231518      0.065173917     -0.076154731    -0.0025127907     0.0036694799
       -102.65625            -22.4              300       0.19306515      -0.23784219      0.069862172     -0.082869492    -0.0026518111     0.0038706309
        -102.1875            -22.4              300       0.19807906      -0.24423121      0.074818239     -0.089952029    -0.0028188869     0.0041140723
       -101.71875            -22.4              300       0.20328614      -0.25082007      0.080170847     -0.097577058    -0.0029739414     0.0043456415
          -101.25            -22.4              300       0.20847371       -0.2573601      0.085783787      -0.10553697    -0.0031315582     0.0045800828
       -100.78125            -22.4              300       0.21366997       -0.2638824      0.091675699      -0.11385909    -0.0032682212     0.0047896593
        -100.3125            -22.4              300       0.21887892      -0.27039135      0.097850502      -0.12254906    -0.0033802362     0.0049699196
        -99.84375            -22.4              300       0.22410552      -0.27689198       0.10431342      -0.13161318     -0.003473575     0.0051276889
          -99.375            -22.4              300       0.22938725      -0.28341508       0.11117776      -0.14118241    -0.0036193486     0.0053465259
        -98.90625            -22.4              300       0.23466533      -0.28989458       0.11844347      -0.15125246     -0.003768506     0.0055722627
         -98.4375            -22.4              300       0.23993981      -0.29633042       0.12611051       -0.1618233    -0.0039210483     0.0058049029
        -97.96875            -22.4              300       0.24521066       -0.3027226       0.13417894      -0.17289495    -0.0040769791     0.0060444498
            -97.5            -22.4              300       0.25047791      -0.30907112        0.1426487      -0.18446743    -0.0042362874      0.006290894
        -97.03125            -22.4              300       0.25572032       -0.3153491       0.15157449      -0.19661623    -0.0044221454     0.0065787239
         -96.5625            -22.4              300       0.26074967      -0.32133928       0.16094318      -0.20929965    -0.0046024271     0.0068656285
        -96.09375            -22.4              300        0.2655316      -0.32700312       0.17072007        -0.222464    -0.0047558448     0.0071212817
          -95.625            -22.4              300       0.27006602      -0.33234075        0.1809051      -0.23610917    -0.0048823943     0.0073456727
        -95.15625            -22.4              300       0.27430734      -0.33729991       0.19164644      -0.25041726    -0.0050256606     0.0075925859
         -94.6875            -22.4              300       0.27835217      -0.34198463       0.20276947      -0.26516661    -0.0051423325     0.0078077735
        -94.21875            -22.4              300       0.28207505      -0.34625304       0.21405803      -0.28008327    -0.0052184621     0.0079727583
           -93.75            -22.4              300       0.28549859      -0.35013363        0.2257911      -0.29551983    -0.0053579053     0.0082078148
        -93.28125            -22.4              300       0.28867972      -0.35369325       0.23790152      -0.31139481    -0.0055571026     0.0085104993
         -92.8125            -22.4              300       0.29161841      -0.35693192        0.2503894      -0.32770818     -0.005816062     0.0088808127
        -92.34375            -22.4              300       0.29431465      -0.35984963       0.26325461      -0.34445998    -0.0061347866     0.0093187634
          -91.875            -22.4              300       0.29665461      -0.36231369       0.27656639      -0.36172748    -0.0064577302     0.0097629232
        -91.40625            -22.4              300       0.29834974      -0.36400241       0.29019395      -0.37933373    -0.0066975132      0.010113919
         -90.9375            -22.4              300       0.29941663      -0.36493987       0.30402601      -0.39714438    -0.0068798922      0.010399325
        -90.46875            -22.4              300       0.29985523      -0.36512622        0.3180626       -0.4151594    -0.0070048594      0.010619139
              -90            -22.4              300        0.2996791      -0.36457565       0.33231187      -0.43338916    -0.0070852353      0.010788274
        -89.53125            -22.4              300       0.29904097      -0.36345312       0.34681728      -0.45189261     -0.007250777      0.011057166
         -89.0625            -22.4              300       0.29786301      -0.36167872       0.36149272      -0.47056288    -0.0074155941      0.011325426
        -88.59375            -22.4              300       0.29614529      -0.35925254       0.37633812          -0.4894    -0.0075796731      0.011593036
          -88.125            -22.4              300       0.29388779      -0.35617453       0.39135355      -0.50840408    -0.0077430522      0.011860033
        -87.65625            -22.4              300       0.29100284      -0.35236007       0.40553695      -0.52640522    -0.0078550596      0.012056381
         -87.1875            -22.4              300       0.28747457      -0.34776694       0.42051619       -0.5452776    -0.0081461156      0.012458496
        -86.71875            -22.4              300       0.28326723      -0.34237778       0.43531573      -0.56389028    -0.0083898529      0.012805829
           -86.25            -22.4              300       0.27838722      -0.33620095       0.44988626      -0.58218694    -0.0085755726      0.013086041
        -85.78125            -22.4              300        0.2728346       -0.3292366       0.46422762      -0.60016745    -0.0087032095       0.01329905
         -85.3125            -22.4              300       0.26660928      -0.32148457       0.47833982      -0.61783183    -0.0087728016      0.013444911
        -84.84375            -22.4              300       0.25971135      -0.31294492       0.49222302      -0.63518012    -0.0087843528      0.013523624
          -84.375            -22.4              300       0.25212324      -0.30359289       0.50592673      -0.65227467    -0.0088892449       0.01370564
        -83.90625            -22.4              300       0.24386424      -0.29345775       0.51934403      -0.66898584    -0.0090457089      0.013946569
         -83.4375            -22.4              300       0.23493588      -0.28254172       0.53246814      -0.68530571    -0.0092451628      0.014236858
        -82.96875            -22.4              300       0.22533797      -0.27084464       0.54529732      -0.70123196     -0.009487085      0.014575887
            -82.5            -22.4              300       0.21513361      -0.25844973       0.55668783      -0.71544993    -0.0094703548      0.014609305
        -82.03125            -22.4              300       0.20477319      -0.24584661       0.56783128      -0.72933817     -0.009830839       0.01504509
         -81.5625            -22.4              300       0.19396168       -0.2327168       0.57849383      -0.74261278     -0.010400008      0.015705524
        -81.09375            -22.4              300       0.18256694       -0.2189191       0.58854687       -0.7551192     -0.010997729      0.016399998
          -80.625            -22.4              300        0.1703757      -0.20421818       0.59813589      -0.76699972     -0.011340772      0.016834909
        -80.15625            -22.4              300       0.15776208      -0.18902823       0.60705692      -0.77804792     -0.011608999      0.017180508
         -79.6875            -22.4              300       0.14472608      -0.17334925       0.61531007      -0.78826398     -0.011802422       0.01743681
        -79.21875            -22.4              300       0.13126773      -0.15718128       0.62289536      -0.79764777     -0.011921018      0.017603783
           -78.75            -22.4              300       0.11738695      -0.14052427       0.62981272      -0.80619943     -0.011964813      0.017681468
        -78.28125            -22.4              300       0.10308384      -0.12337824       0.63606226      -0.81391877     -0.011933789      0.017669827
         -77.8125            -22.4              300      0.088512234      -0.10591584       0.64157903      -0.82071531     -0.011753727      0.017496005
        -77.34375            -22.4              300      0.073909484     -0.088408276        0.6462453       -0.8264606     -0.011591619       0.01734489
          -76.875            -22.4              300      0.059270158     -0.070850268       0.65006053      -0.83115983     -0.011495172      0.017266687
        -76.40625            -22.4              300      0.044594266     -0.053241804       0.65302479      -0.83481288      -0.01146438      0.017261371
         -75.9375            -22.4              300       0.02988179     -0.035582893        0.6551379      -0.83741987     -0.011499245      0.017328955
        -75.46875            -22.4              300      0.014913921     -0.017634809        0.6563049      -0.83887249     -0.011570489      0.017436555
              -75            -22.4              300   -0.00011539747    0.00037556453       0.65677989      -0.83945537     -0.011526885      0.017408185
        -74.53125            -22.4              300     -0.015161298      0.018400948       0.65644968      -0.83904207     -0.011423757      0.017304335
         -74.0625            -22.4              300     -0.030223766      0.036441319       0.65531415      -0.83763272     -0.011261112       0.01712501
        -73.59375            -22.4              300      -0.04530279      0.054496676        0.6533733      -0.83522713     -0.011038943      0.016870216
          -73.125            -22.4              300     -0.060284428      0.072442174       0.65053165      -0.83172089      -0.01089555      0.016688364
        -72.65625            -22.4              300     -0.074618243      0.089671284       0.64645648      -0.82675457     -0.011396087      0.017190896
         -72.1875            -22.4              300     -0.089316361       0.10728361       0.64178175      -0.82099932     -0.011110049      0.016856413
        -71.71875            -22.4              300      -0.10364897       0.12447567       0.63640642      -0.81437314     -0.010869594      0.016570605
           -71.25            -22.4              300      -0.11761608       0.14124745       0.63033056      -0.80687606     -0.010674707      0.016333465
        -70.78125            -22.4              300      -0.13121769       0.15759897       0.62355399      -0.79850811     -0.010525422      0.016145017
         -70.3125            -22.4              300      -0.14445378       0.17353021       0.61607683      -0.78926909     -0.010421697      0.016005233
        -69.84375            -22.4              300      -0.15732443       0.18904123       0.60789901      -0.77915937     -0.010363572      0.015914146
          -69.375            -22.4              300      -0.16988054       0.20419134       0.59892642      -0.76807284     -0.010441516      0.015967524
        -68.90625            -22.4              300      -0.18194416       0.21878447        0.5889774      -0.75581086     -0.010317979      0.015805658
         -68.4375            -22.4              300      -0.19345857       0.23273847       0.57823193      -0.74257165     -0.010190998      0.015614818
        -67.96875            -22.4              300      -0.20458758       0.24624074       0.56681669      -0.72849822     -0.010024976       0.01537035
            -67.5            -22.4              300       -0.2152712       0.25922388       0.55596089       -0.7149362     -0.010026792      0.015324462
        -67.03125            -22.4              300      -0.22532737       0.27147168       0.54442179      -0.70052123    -0.0099254176       0.01516781
         -66.5625            -22.4              300      -0.23485141       0.28308696       0.53170317      -0.68473947    -0.0096575841      0.014810537
        -66.09375            -22.4              300      -0.24374166       0.29396135       0.51871789      -0.66859519    -0.0093625598      0.014418898
          -65.625            -22.4              300      -0.25181884       0.30389079       0.50511396      -0.65169591    -0.0095319897      0.014491233
        -65.15625            -22.4              300      -0.25953934       0.31339145       0.49165577       -0.6348812    -0.0090898555      0.013933084
         -64.6875            -22.4              300       -0.2665197       0.32202971       0.47801507      -0.61780399    -0.0086795716      0.013409796
        -64.21875            -22.4              300      -0.27263939        0.3296769       0.46405295      -0.60031509    -0.0084997155      0.013135915
           -63.75            -22.4              300      -0.27813777       0.33659583       0.44979891      -0.58244145    -0.0083381478       0.01288142
        -63.28125            -22.4              300      -0.28301483       0.34278631       0.43525296      -0.56418264    -0.0081948508       0.01264629
         -62.8125            -22.4              300      -0.28727061       0.34824845       0.42041513      -0.54553896    -0.0080698412      0.012430551
        -62.34375            -22.4              300      -0.29085827       0.35292667       0.40533045      -0.52655947    -0.0079421708      0.012212059
          -61.875            -22.4              300      -0.29371083       0.35673055       0.39036652      -0.50767338     -0.007755924      0.011930838
        -61.40625            -22.4              300      -0.29598784       0.35984343       0.37555239      -0.48892927    -0.0075670867      0.011645462
         -60.9375            -22.4              300      -0.29768941       0.36226538         0.360888      -0.47032717    -0.0073756333      0.011355918
        -60.46875            -22.4              300       -0.2988154       0.36399633       0.34637344      -0.45186704     -0.007181576      0.011062214
              -60            -22.4              300      -0.29936585       0.36503628       0.33200866      -0.43354887    -0.0069849198      0.010764358
        -59.53125            -22.4              300      -0.29934087       0.36538529       0.31779361      -0.41537273    -0.0067856628      0.010462338
         -59.0625            -22.4              300      -0.29874033       0.36504328        0.3037284      -0.39733857    -0.0065837912      0.010156156
