           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -105            -22.4              300     -0.059341479        1.8559039     -0.006593775      -0.20267501      -0.64777297      -0.50450575
       -104.53125            -22.4              300     -0.061071862        1.8519218    -0.0061195414      -0.13238689      -0.47680843      -0.38289961
        -104.0625            -22.4              300     -0.063732162        1.8442614    -0.0057706316     -0.063530676      -0.30870399       -0.2634103
       -103.59375            -22.4              300     -0.065725856        1.8344028    -0.0054820441     0.0041396692      -0.14359751      -0.14609264
         -103.125            -22.4              300     -0.067053132        1.8223451    -0.0052537885      0.070624091      0.018510884     -0.030946657
       -102.65625            -22.4              300     -0.067713886        1.8080889    -0.0050858562       0.13592261       0.17762123      0.082027726
        -102.1875            -22.4              300     -0.066850908         1.792413    -0.0049441913        0.2001632       0.33462679       0.19341105
       -101.71875            -22.4              300      -0.06582389        1.7726054    -0.0042430083       0.26401439       0.49123541       0.30466983
          -101.25            -22.4              300     -0.065137789        1.7507451    -0.0035185791       0.32622951       0.64534754       0.41396981
       -100.78125            -22.4              300      -0.06510476        1.7260902    -0.0027973549       0.38695973       0.79682851       0.52132845
        -100.3125            -22.4              300     -0.065786988        1.6984963    -0.0020834489       0.44622493       0.94563812       0.62673831
        -99.84375            -22.4              300     -0.067100726        1.6680007    -0.0013671131       0.50399143        1.0916578       0.73007327
          -99.375            -22.4              300     -0.067584932        1.6356279   -0.00051453395        0.5596934        1.2330136       0.82968867
        -98.90625            -22.4              300     -0.067542359        1.6015668    0.00040884851       0.61347342        1.3702974         0.926507
         -98.4375            -22.4              300     -0.066973254        1.5658166      0.001403027       0.66533142        1.5035093        1.0205278
        -97.96875            -22.4              300     -0.065877579        1.5283777     0.0024679981        0.7152673        1.6326489        1.1117516
            -97.5            -22.4              300     -0.064255074        1.4892502     0.0036037792       0.76328111        1.7577167        1.2001779
        -97.03125            -22.4              300     -0.061807759        1.4485136     0.0046161246       0.80926162        1.8783615        1.2856838
         -96.5625            -22.4              300     -0.059511818        1.4066269     0.0055337106       0.85233748        1.9934803        1.3671861
        -96.09375            -22.4              300     -0.057781562        1.3636591     0.0064753806       0.89235663        2.1030016        1.4444879
          -95.625            -22.4              300     -0.056616437        1.3196098     0.0074411463       0.92931914        2.2069252        1.5175892
        -95.15625            -22.4              300     -0.055634938        1.2745599     0.0084884632       0.96232456        2.3033957            1.585
         -94.6875            -22.4              300     -0.055424407        1.2281425     0.0093039032       0.99218136        2.3954632        1.6490191
        -94.21875            -22.4              300      -0.05594223         1.181069     0.0098157702        1.0196919        2.4837832        1.7104195
           -93.75            -22.4              300     -0.056220096        1.1331497      0.010484009        1.0442564        2.5651178        1.7667823
        -93.28125            -22.4              300     -0.055870466        1.0851812      0.011317255        1.0666003        2.6413512        1.8195697
         -92.8125            -22.4              300     -0.054893479         1.037163      0.012315497        1.0867232        2.7124841        1.8687816
        -92.34375            -22.4              300     -0.053289205       0.98909533      0.013478729        1.1046253        2.7785161         1.914418
          -91.875            -22.4              300     -0.051646069       0.94065332      0.014575601        1.1193922        2.8382452        1.9553516
        -91.40625            -22.4              300     -0.050526157       0.89251477      0.015585711        1.1310776        2.8913176        1.9914594
         -90.9375            -22.4              300     -0.049536586       0.84522307      0.016729854        1.1405993        2.9387999        2.0238099
        -90.46875            -22.4              300     -0.048677251       0.79877812      0.018008038        1.1479568        2.9806917        2.0524027
              -90            -22.4              300     -0.047869608        0.7532289      0.019374177        1.1530578        3.0170615        2.0772486
        -89.53125            -22.4              300      -0.04655927       0.70900482      0.020351417        1.1549399        3.0486488        2.0983629
         -89.0625            -22.4              300     -0.045471668       0.66572291      0.021240558        1.1542091        3.0750332        2.1155977
        -88.59375            -22.4              300     -0.044606593       0.62338305      0.022041617         1.150866         3.096215         2.128953
          -88.125            -22.4              300     -0.043964539       0.58198512       0.02275455        1.1449102        3.1121943        2.1384287
        -87.65625            -22.4              300      -0.04511096       0.54072362      0.023802813        1.1399533        3.1258078        2.1462228
         -87.1875            -22.4              300     -0.044691347       0.50127906      0.025127878        1.1316776        3.1325803        2.1490982
        -86.71875            -22.4              300     -0.044342816       0.46319225      0.026374046         1.122189        3.1354141        2.1493411
           -86.25            -22.4              300     -0.044156089       0.42641363      0.027522702        1.1116006        3.1344905        2.1470878
        -85.78125            -22.4              300       -0.0441304       0.39094386      0.028573928        1.0999124        3.1298084        2.1423385
         -85.3125            -22.4              300     -0.044266254        0.3567825      0.029527664        1.0871242        3.1213682         2.135093
        -84.84375            -22.4              300     -0.044563636       0.32392964      0.030383918        1.0732362          3.10917        2.1253514
          -84.375            -22.4              300     -0.044128809        0.2930859      0.030531701        1.0572485        3.0938358        2.1134357
        -83.90625            -22.4              300     -0.043567684       0.26405591      0.030428782        1.0398822        3.0749903        2.0989833
         -83.4375            -22.4              300     -0.042945072       0.23679994      0.030121172        1.0212111        3.0525889        2.0819645
        -82.96875            -22.4              300     -0.042265147       0.21131483      0.029610805        1.0012398         3.026634        2.0623815
            -82.5            -22.4              300     -0.043738358       0.18558225      0.030048039       0.98267853        2.9992819        2.0420394
        -82.03125            -22.4              300     -0.044589311       0.16092789       0.03063599       0.96371448        2.9701767        2.0205984
         -81.5625            -22.4              300     -0.044951685       0.13788502       0.03113541       0.94435775        2.9389913        1.9978374
        -81.09375            -22.4              300     -0.045012608       0.11659637      0.031393368        0.9246226        2.9056876         1.973729
          -80.625            -22.4              300     -0.044303872      0.097794697      0.031155717       0.90418482         2.869683        1.9479451
        -80.15625            -22.4              300      -0.04385791      0.079960674      0.030837253       0.88363206        2.8321004        1.9211979
         -79.6875            -22.4              300     -0.043674789      0.063094236      0.030437976       0.86296445        2.7929399         1.893488
        -79.21875            -22.4              300     -0.043754339      0.047195543      0.029957907       0.84218204        2.7522016        1.8648151
           -78.75            -22.4              300     -0.044096742      0.032264411      0.029397015       0.82128471        2.7098856        1.8351794
        -78.28125            -22.4              300      -0.04470183      0.018300977      0.028755322       0.80027246        2.6659911        1.8045807
         -77.8125            -22.4              300     -0.045224641     0.0052359123      0.027948184       0.77945566        2.6215184        1.7737793
        -77.34375            -22.4              300     -0.045339271     -0.006852312      0.027019303       0.75903797         2.577112        1.7432219
          -76.875            -22.4              300     -0.045091003     -0.017931581       0.02599958        0.7389645        2.5325937        1.7127653
        -76.40625            -22.4              300     -0.044479746     -0.028001798      0.024889022        0.7192353         2.487963        1.6824098
         -75.9375            -22.4              300     -0.043505542     -0.037063017      0.023687635       0.69985026        2.4432199        1.6521554
        -75.46875            -22.4              300     -0.042360839     -0.044869665      0.022697028        0.6809684        2.3975306        1.6214818
              -75            -22.4              300     -0.041610129     -0.052267063      0.021759477       0.66233861           2.3515        1.5906351
        -74.53125            -22.4              300     -0.041091636     -0.059197061      0.020836892       0.64403129         2.305316        1.5597823
         -74.0625            -22.4              300     -0.040805347     -0.065659754      0.019929264       0.62604642        2.2589793        1.5289233
        -73.59375            -22.4              300     -0.040751308     -0.071655117      0.019036589       0.60838401        2.2124889        1.4980581
          -73.125            -22.4              300     -0.040905733     -0.077278353      0.018144732       0.59107202        2.1660621        1.4673131
        -72.65625            -22.4              300     -0.040767238     -0.082693994      0.017195739        0.5742594        2.1207416         1.437359
         -72.1875            -22.4              300     -0.040427532     -0.086962029      0.016091062       0.55779165        2.0750678        1.4073858
        -71.71875            -22.4              300     -0.039912153     -0.090760231      0.014976419       0.54170263        2.0298185        1.3777797
           -71.25            -22.4              300     -0.039221074     -0.094088592      0.013851816       0.52599233        1.9849937        1.3485404
        -70.78125            -22.4              300     -0.038354408     -0.096947178      0.012717219       0.51066071        1.9405932        1.3196681
         -70.3125            -22.4              300     -0.037312005     -0.099335887       0.01157268       0.49570793        1.8966173        1.2911625
        -69.84375            -22.4              300     -0.036093984      -0.10125484      0.010418141       0.48113376        1.8530658        1.2630236
          -69.375            -22.4              300     -0.034609392      -0.10261384     0.0092516318       0.46695882        1.8098717        1.2352302
        -68.90625            -22.4              300     -0.032991227      -0.10350777     0.0080963876       0.45325571        1.7671646        1.2078305
         -68.4375            -22.4              300      -0.03203341      -0.10466357     0.0071495459       0.44006181        1.7249794        1.1807148
        -67.96875            -22.4              300     -0.031348422       -0.1057111     0.0062365057       0.42722535        1.6832271        1.1538932
            -67.5            -22.4              300     -0.030950457      -0.10692886     0.0052820598       0.41451263        1.6423215        1.1276169
        -67.03125            -22.4              300     -0.029717952      -0.10743362     0.0041670203       0.40218216        1.6024288        1.1021078
         -66.5625            -22.4              300     -0.028179593      -0.10741289     0.0030749915        0.3903138        1.5629498        1.0769033
        -66.09375            -22.4              300     -0.026759122      -0.10734552      0.002045356       0.37875837        1.5241071        1.0520812
          -65.625            -22.4              300     -0.025387831      -0.10725692      0.001300829        0.3676576        1.4858371        1.0275965
        -65.15625            -22.4              300      -0.02451722      -0.10725983    0.00052591611        0.3567884        1.4482065         1.003527
         -64.6875            -22.4              300     -0.023530761      -0.10708372   -0.00019219927       0.34627584        1.4113914       0.97996622
        -64.21875            -22.4              300     -0.022469003      -0.10681225     -0.000790647       0.33617535        1.3754497       0.95692503
           -63.75            -22.4              300     -0.021289626      -0.10631709    -0.0013418004        0.3264091        1.3401887       0.93431783
        -63.28125            -22.4              300     -0.019992596      -0.10559823    -0.0018456477       0.31697705        1.3056086       0.91214466
         -62.8125            -22.4              300      -0.01857795      -0.10465569    -0.0023022084       0.30787927        1.2717092        0.8904056
        -62.34375            -22.4              300      -0.01706871      -0.10353208    -0.0027166717       0.29910508        1.2385062       0.86908424
          -61.875            -22.4              300     -0.015652796      -0.10246618    -0.0031076055       0.29056653        1.2060244         0.848113
        -61.40625            -22.4              300     -0.014345191      -0.10141985    -0.0034640227       0.28225565        1.1742128       0.82752049
         -60.9375            -22.4              300     -0.013145858        -0.100393     -0.003785898       0.27417248        1.1430713       0.80730671
        -60.46875            -22.4              300     -0.012054822     -0.099385723     -0.004073251       0.26631698           1.1126       0.78747165
              -60            -22.4              300      -0.01107209     -0.098397955     -0.004326087       0.25868914        1.0827988       0.76801538
        -59.53125            -22.4              300     -0.010197651      -0.09742973    -0.0045443983       0.25128898        1.0536679       0.74893785
         -59.0625            -22.4              300    -0.0094314907     -0.096481003     -0.004728171       0.24411651         1.025207       0.73023909
        -58.59375            -22.4              300    -0.0086172102     -0.095479764    -0.0049010688       0.23706979       0.99720347       0.71182805
          -58.125            -22.4              300    -0.0077085281     -0.094300404    -0.0050396686        0.2303613         0.969796       0.69374883
        -57.65625            -22.4              300    -0.0066647641      -0.09297964    -0.0051231724       0.22392726       0.94307953       0.67607546
         -57.1875            -22.4              300    -0.0054746913     -0.091519468    -0.0051524816       0.21774459       0.91703987        0.6588046
        -56.71875            -22.4              300    -0.0043438533     -0.090113088    -0.0051469118       0.21174783        0.8917852       0.64200866
           -56.25            -22.4              300    -0.0032879775     -0.088720866    -0.0051171272       0.20591733       0.86709893       0.62549943
        -55.78125            -22.4              300    -0.0023817879     -0.087423131    -0.0050783306       0.20021927       0.84299767       0.60933077
         -55.3125            -22.4              300     -0.001607927     -0.086195953    -0.0050297948       0.19466606       0.81946266       0.59348416
        -54.84375            -22.4              300   -0.00095922919     -0.085030213    -0.0049726348       0.18926111       0.79648912       0.57795477
          -54.375            -22.4              300   -0.00043571275     -0.083925925      -0.00490687       0.18400444       0.77407712       0.56274259
        -53.90625            -22.4              300    0.00013042102     -0.082784161    -0.0047835987       0.17892841       0.75219059        0.5479269
         -53.4375            -22.4              300    0.00065505574     -0.081702068    -0.0046232645       0.17403467       0.73094338        0.5334748
        -52.96875            -22.4              300     0.0012361081     -0.080564097    -0.0044439305       0.16930504       0.71022254        0.5193361
            -52.5            -22.4              300     0.0018850572     -0.079358034    -0.0042478829       0.16473766        0.6900211        0.5055117
        -52.03125            -22.4              300     0.0026018973     -0.078083888    -0.0040351329       0.16033249       0.67033941       0.49200162
         -51.5625            -22.4              300     0.0032954565     -0.076788276    -0.0038344928        0.1560531       0.65116531       0.47879443
        -51.09375            -22.4              300     0.0038992555     -0.075541884    -0.0036497717       0.15187506       0.63245279       0.46587893
          -50.625            -22.4              300     0.0044182613      -0.07434532    -0.0034779448       0.14780051       0.61419922       0.45325541
        -50.15625            -22.4              300     0.0048524672     -0.073198572    -0.0033190222       0.14382946       0.59640467       0.44092402
         -49.6875            -22.4              300     0.0052018845     -0.072101653    -0.0031729906       0.13996191       0.57906926       0.42888469
        -49.21875            -22.4              300     0.0054786964     -0.071043767    -0.0030439685        0.1361932       0.56218857       0.41713989
           -48.75            -22.4              300     0.0058450326     -0.069908433    -0.0029590563       0.13249643         0.545762       0.40574551
        -48.28125            -22.4              300     0.0062714801     -0.068742819    -0.0028864695       0.12891096       0.52984279       0.39471418
         -47.8125            -22.4              300     0.0065866597     -0.067714624    -0.0027642392       0.12546836       0.51441473       0.38397098
        -47.34375            -22.4              300     0.0069259629     -0.066664346     -0.002629058       0.12212457       0.49933627        0.3734552
          -46.875            -22.4              300     0.0073116831     -0.065568455    -0.0024881973        0.1188743        0.4845998       0.36316901
        -46.40625            -22.4              300     0.0076830946     -0.064456671    -0.0023617111       0.11571373       0.47029138       0.35315007
         -45.9375            -22.4              300     0.0080075478     -0.063381813    -0.0022602307       0.11262254       0.45636404       0.34339917
        -45.46875            -22.4              300     0.0082925959     -0.062341444    -0.0021808373       0.10960387       0.44281101       0.33391553
              -45            -22.4              300     0.0085280156     -0.061346337    -0.0021137283       0.10666535       0.42962804        0.3246913
        -44.53125            -22.4              300     0.0086844582     -0.060413942    -0.0020626276       0.10379802       0.41682118       0.31572014
         -44.0625            -22.4              300     0.0088253217     -0.059497796    -0.0019992657       0.10102005       0.40439174       0.30700541
        -43.59375            -22.4              300     0.0089911772     -0.058572572    -0.0019316934      0.098320253       0.39228934       0.29851899
          -43.125            -22.4              300     0.0091798194     -0.057640161    -0.0018623967      0.095696695       0.38051099         0.290259
        -42.65625            -22.4              300     0.0093912492     -0.056700546    -0.0017913759      0.093149357        0.3690567       0.28222546
         -42.1875            -22.4              300     0.0096254693     -0.055753745    -0.0017186288       0.09067823       0.35792646       0.27441835
        -41.71875            -22.4              300     0.0098768463     -0.054805864    -0.0016473664      0.088281631       0.34712714        0.2668429
           -41.25            -22.4              300      0.010105744     -0.053895999    -0.0016011199      0.085948013       0.33670437        0.2595332
        -40.78125            -22.4              300        0.0103492     -0.052951835    -0.0015509133      0.083679073        0.3264817       0.25236863
         -40.3125            -22.4              300      0.010533368      -0.05205271    -0.0015151879      0.081457898        0.3165139       0.24537587
        -39.84375            -22.4              300      0.010658248     -0.051198643    -0.0014939501      0.079284519       0.30680111       0.23855495
          -39.375            -22.4              300       0.01078307     -0.050375853    -0.0014441973      0.077168502       0.29739395       0.23195045
        -38.90625            -22.4              300      0.010918439     -0.049565863    -0.0014154367      0.075128905       0.28838629       0.22562605
         -38.4375            -22.4              300      0.011051355     -0.048763756    -0.0013916381      0.073142216        0.2796084       0.21945819
        -37.96875            -22.4              300       0.01118026      -0.04797101    -0.0013692917      0.071205646       0.27104503       0.21343668
            -37.5            -22.4              300      0.011305155     -0.047187626     -0.001348397      0.069319144       0.26269624       0.20756149
        -37.03125            -22.4              300       0.01142604     -0.046413593    -0.0013289488      0.067482755       0.25456199       0.20183262
         -36.5625            -22.4              300      0.011542914     -0.045648918    -0.0013109499      0.065696456       0.24664232       0.19625008
        -36.09375            -22.4              300      0.011655776       -0.0448936    -0.0012944087      0.063960239       0.23893718       0.19081387
          -35.625            -22.4              300      0.011799539     -0.044139791    -0.0012421648       0.06230424       0.23149312       0.18555817
        -35.15625            -22.4              300      0.011960581     -0.043387514    -0.0011780509      0.060710076       0.22429149       0.18046804
         -34.6875            -22.4              300       0.01213304     -0.042637818     -0.001109171      0.059172086       0.21732445       0.17553756
        -34.21875            -22.4              300       0.01226097     -0.041896727    -0.0011185198      0.057610337        0.2104504       0.17068529
           -33.75            -22.4              300      0.012392905     -0.041171715    -0.0011292105      0.056084529       0.20378315       0.16598018
        -33.28125            -22.4              300      0.012499822     -0.040504776    -0.0011005288      0.054630455       0.19739701       0.16144603
         -32.8125            -22.4              300      0.012601869     -0.039840899    -0.0010797908      0.053218815       0.19118677       0.15702251
        -32.34375            -22.4              300      0.012699523     -0.039185941    -0.0010625067      0.051842168       0.18514703       0.15271419
          -31.875            -22.4              300      0.012792785     -0.038539886     -0.001048675      0.050500516       0.17927776       0.14852105
        -31.40625            -22.4              300      0.012881652     -0.037902739    -0.0010382965      0.049193844       0.17357892       0.14444309
         -30.9375            -22.4              300      0.012966128     -0.037274498    -0.0010313703      0.047922175       0.16805054       0.14048029
        -30.46875            -22.4              300      0.013046999      -0.03665477    -0.0010233504      0.046686407       0.16267861       0.13662627
              -30            -22.4              300      0.013125696     -0.036062635   -0.00098359212      0.045501824       0.15745188       0.13286996
        -29.53125            -22.4              300      0.013190496     -0.035498053   -0.00093895971      0.044348579       0.15238315       0.12922038
         -29.0625            -22.4              300       0.01324178      -0.03495761   -0.00090669817      0.043221794       0.14751056       0.12570366
        -28.59375            -22.4              300      0.013294296     -0.034423128   -0.00087382854      0.042127084       0.14277694        0.1222781
          -28.125            -22.4              300      0.013348935     -0.033893745   -0.00083818543      0.041065186       0.13817577       0.11893904
        -27.65625            -22.4              300      0.013405699     -0.033369467   -0.00079976697      0.040036097       0.13370702       0.11568649
         -27.1875            -22.4              300      0.013464585     -0.032850295   -0.00075857335      0.039039813       0.12937072       0.11252043
        -26.71875            -22.4              300      0.013525594     -0.032336224    -0.0007146048      0.038076345       0.12516685       0.10944089
           -26.25            -22.4              300       0.01359476     -0.031817965    -0.0006814301      0.037137408       0.12106265       0.10642917
        -25.78125            -22.4              300      0.013642087     -0.031323116   -0.00065828615       0.03621427       0.11706915       0.10349146
         -25.3125            -22.4              300      0.013667227     -0.030852044   -0.00064503308      0.035306927       0.11318678       0.10062797
        -24.84375            -22.4              300      0.013676405     -0.030404724   -0.00063716131      0.034417238       0.10945593      0.097873673
          -24.375            -22.4              300      0.013690468     -0.029965397   -0.00062685017      0.033551902       0.10584798      0.095208816
        -23.90625            -22.4              300       0.01370989     -0.029533511    -0.0006140084       0.03271107       0.10236033      0.092631325
         -23.4375            -22.4              300       0.01373467      -0.02910907   -0.00059863966      0.031894743      0.098993018      0.090141185
        -22.96875            -22.4              300      0.013760997     -0.028695146   -0.00058069878      0.031102072      0.095741317      0.087733708
            -22.5            -22.4              300      0.013775874     -0.028298052   -0.00055911974      0.030329591      0.092568085      0.085375294
        -22.03125            -22.4              300      0.013792372     -0.027901258   -0.00053526688      0.029577838      0.089478932      0.083075538
         -21.5625            -22.4              300      0.013804516     -0.027512593    -0.0005166629      0.028842589       0.08647798      0.080837265
        -21.09375            -22.4              300      0.013812369     -0.027133116   -0.00050391996      0.028123904      0.083565965      0.078660756
          -20.625            -22.4              300      0.013815934      -0.02676283    -0.0004970468       0.02742178      0.080742911      0.076546013
        -20.15625            -22.4              300      0.013815207     -0.026401736   -0.00049603428      0.026736222      0.078008801      0.074493036
         -19.6875            -22.4              300      0.013810192     -0.026049828   -0.00050088909      0.026067222      0.075363651      0.072501823
        -19.21875            -22.4              300      0.013797774     -0.025710132   -0.00050250586      0.025420198      0.072799891      0.070566431
           -18.75            -22.4              300      0.013781678     -0.025381777   -0.00049950113      0.024790624      0.070309542      0.068685606
        -18.28125            -22.4              300      0.013767735     -0.025062855   -0.00048903498      0.024178084      0.067893095      0.066862777
         -17.8125            -22.4              300       0.01375071     -0.024755269   -0.00047890568      0.023577951      0.065552056      0.065097675
        -17.34375            -22.4              300        0.0137306     -0.024459021   -0.00046911254       0.02299023      0.063286424      0.063390292
          -16.875            -22.4              300       0.01371145     -0.024162985    -0.0004713262      0.022411022      0.061095532       0.06173449
        -16.40625            -22.4              300      0.013699431     -0.023863468     -0.000476613      0.021845333        0.0589692      0.060123865
         -15.9375            -22.4              300      0.013694252     -0.023563767   -0.00047912894      0.021295493      0.056905784       0.05855941
        -15.46875            -22.4              300      0.013694694     -0.023264632   -0.00047962624      0.020760888      0.054905608      0.057041496
              -15            -22.4              300       0.01369263     -0.022972748   -0.00048425153      0.020236298      0.052971713      0.055574048
        -14.53125            -22.4              300      0.013684884     -0.022693861   -0.00048974832      0.019726787      0.051099431      0.054150313
         -14.0625            -22.4              300      0.013671993      -0.02242359   -0.00049891957      0.019227084      0.049284145      0.052767709
        -13.59375            -22.4              300       0.01365396     -0.022161936   -0.00051176501      0.018737189       0.04752586      0.051426236
          -13.125            -22.4              300      0.013630783     -0.021908896   -0.00052828621      0.018257104      0.045824565      0.050125897
        -12.65625            -22.4              300      0.013600269     -0.021666473   -0.00054107176      0.017790288       0.04417761       0.04886464
         -12.1875            -22.4              300      0.013569881     -0.021431293   -0.00053804432      0.017342908      0.042582028      0.047640871
        -11.71875            -22.4              300      0.013553152     -0.021191336   -0.00054458831      0.016903747       0.04104932      0.046464566
