           x [mm]           y [mm]           z [mm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -105             -105            -22.4     0.0015593241   -0.00086203701    0.00056022982   -0.00031109547   -0.00017497467     0.0030172344
              -75             -105            -22.4     0.0032135793    -0.0018993139     0.0016016546   -0.00049818092    -0.0012466649     0.0053265123
              -45             -105            -22.4      0.007640806    -0.0050813248     0.0042122602    -0.0013330841    -0.0045017018     0.0093661854
              -15             -105            -22.4      0.021465845     -0.018659517       0.01425723    -0.0079123834     -0.012626076      0.016257571
               15             -105            -22.4      0.062126413     -0.066910736      0.064258449     -0.059259526     -0.017212817      0.011107421
               45             -105            -22.4    -0.0064297304     0.0020337857       0.20192519      -0.22499476      0.033879649     -0.058373179
               75             -105            -22.4     -0.064160705      0.068221189      0.065761641     -0.062643647     -0.013775795     0.0077663902
              105             -105            -22.4     -0.022631459      0.018156517      0.012243164    -0.0081544034    -0.0095151933      0.017784093
             -105              -75            -22.4     0.0019436569    -0.0011307566    0.00025564423   -7.4920485e-05   -0.00041954353     0.0036232828
              -75              -75            -22.4     0.0041138646    -0.0026876002    0.00073916581    0.00016737168    -0.0036526707     0.0062148743
              -45              -75            -22.4      0.010162821    -0.0072217174     0.0016142725    0.00057647063     -0.011201434     0.0093994085
              -15              -75            -22.4      0.035190333      -0.03128989     0.0029751132     0.0011150078     -0.025419602     0.0098816985
               15              -75            -22.4       0.17195089      -0.20591697     0.0072582276     -0.002203298      0.017282035     -0.083137155
               45              -75            -22.4      0.018518254     -0.021027453     -0.025602736      0.030863956       0.55749452      -0.79755497
               75              -75            -22.4      -0.17865141       0.20240383     0.0050382959    -0.0026041879      0.033827402     -0.092127994
              105              -75            -22.4     -0.035821378      0.028721374     0.0019835534    -0.0005548714     -0.013294816      0.014125722
             -105              -45            -22.4      0.001977446    -0.0010733919   -0.00012216752    0.00014719706   -0.00042840582     0.0037018526
              -75              -45            -22.4     0.0040067229    -0.0022462164   -0.00038021762    0.00057607208    -0.0043453588     0.0065204338
