           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
---------------------------------------------------------------------------------------------------------------------------------------------------------
             -105             -105            -22.4     -0.085054003      0.077214107      0.086581238     -0.077849708    0.00097491249    0.00027561747
              -75             -105            -22.4      -0.27988672       0.24960306       0.11411335     -0.083012253      0.005338226     0.0050407336
              -45             -105            -22.4      -0.51681143       0.39982727       0.12646469     -0.058312215     0.0047013732     0.0063784719
              -15             -105            -22.4      -0.73746228         0.487037      0.089538313      -0.02168677     0.0019101638     0.0047997902
               15             -105            -22.4      -0.83057654       0.49102622    -0.0045567877      0.020261861    0.00026230508    -0.0011875515
               45             -105            -22.4      -0.70998245       0.41474125     -0.098405816      0.061424404    -0.0010569033    -0.0055532907
               75             -105            -22.4      -0.44928184       0.26857781      -0.14758073      0.091706909    -0.0036773896    -0.0066114371
              105             -105            -22.4      -0.14802039      0.080359787      -0.13592198      0.092905432     0.0027265705    0.00064858294
             -105              -75            -22.4      -0.11398705      0.080356844       0.28259462       -0.2485819    -0.0037624962    -0.0037352899
              -75              -75            -22.4      -0.38295954       0.24127591       0.38011074      -0.24858603    -0.0001878177   -0.00047402005
              -45              -75            -22.4      -0.74527615       0.35385424       0.44354069      -0.16700628     0.0017996861    -0.0027944299
              -15              -75            -22.4       -1.1532997       0.36406755       0.34007925     -0.038824446     0.0018498052    -0.0027964129
               15              -75            -22.4       -1.3444558       0.33439884     -0.013752494      0.057957813     0.0017714719    0.00041848351
               45              -75            -22.4       -1.1159363       0.29687163      -0.38316843       0.14796498    -0.0042906324     -0.001326983
               75              -75            -22.4      -0.66844338       0.21973206      -0.51839721       0.25069326     0.0023670702   -0.00071128429
              105              -75            -22.4      -0.21282421      0.077832922      -0.47981951       0.27881759      0.010440373      0.007049337
             -105              -45            -22.4      -0.12623318      0.053930882       0.52201217       -0.3948195    -0.0035081685    -0.0079923607
              -75              -45            -22.4      -0.45466027       0.14081261       0.75027472      -0.36303213    -0.0035812266    -0.0090122633
              -45              -45            -22.4       -1.0127671        0.1052357        1.0045372      -0.14179748    -0.0010678576     -0.011021957
              -15              -45            -22.4       -1.9252924      -0.18707627       0.93660432       0.12101196    -0.0080957655     -0.016231203
               15              -45            -22.4       -2.5533233      -0.48792869     -0.038634621      0.083669916    -0.0081420932    -0.0070269699
               45              -45            -22.4       -1.8995066      -0.24064691       -1.0229372      0.042076387     0.0073301606       0.01451901
               75              -45            -22.4      -0.94138271      0.011680101        -1.144218       0.28161836     0.0074052718     0.0094318008
              105              -45            -22.4      -0.26948202      0.026641829      -0.95736676        0.4007141      0.013003332      0.010566616
             -105              -15            -22.4     -0.087029144      0.012491193       0.74936628       -0.4660607    -0.0021616984    -0.0026822761
              -75              -15            -22.4      -0.34644976     0.0052004647        1.1594354      -0.35029152    -0.0072277668    -0.0035042521
              -45              -15            -22.4      -0.97204316      -0.23398875        1.9249289       0.16985863     0.0055456855     -0.031016596
              -15              -15            -22.4       -2.5940211        -1.137001        2.6576626        1.0124972      0.014056717      -0.10405994
               15              -15            -22.4       -4.9440632       -2.4068561      0.013789389       0.14462656     -0.084590539     -0.055027727
               45              -15            -22.4       -2.6358325       -1.1775486       -2.6477067      -0.72413886      0.077093989         0.180282
               75              -15            -22.4      -0.89132589      -0.24946651       -2.0845168      0.012814372     0.0042180689      0.028853821
              105              -15            -22.4      -0.21352042     -0.031503875       -1.4726198       0.39840379     0.0047923871      0.015688019
             -105               15            -22.4     0.0029829312     -0.027368033       0.84031552      -0.45914462     0.0012808045   -0.00092632457
              -75               15            -22.4      0.011701019     -0.088967085        1.3567369      -0.27533025    0.00051363755    -0.0074673807
              -45               15            -22.4       0.01034539      -0.19706804        2.5361559       0.56328881     0.0056188786     -0.070843332
              -15               15            -22.4      0.092254147       -0.2779589        4.6602097        2.5201874       0.12455441      -0.46534151
               15               15            -22.4      -0.22092155        0.9880268      0.032206405        0.1271539     0.0083575686     -0.055740826
               45               15            -22.4     -0.039536066      -0.33581445        -4.949645       -2.3923159       0.08101441       0.63107979
               75               15            -22.4      0.018976215      -0.16305991       -2.6973364      -0.36319327     0.0017479917       0.06206876
              105               15            -22.4     0.0044341106     -0.044335265       -1.7133703       0.31195202   -0.00048674978     0.0093843685
             -105               45            -22.4       0.10198975      -0.06067396       0.72986287      -0.37821451     0.0039868555      0.004460949
              -75               45            -22.4       0.38107699      -0.15150532        1.1372881      -0.23706514    -0.0005643405    -0.0061514978
              -45               45            -22.4       0.98972327     -0.047225416        1.8752594       0.34377033    0.00035036769      -0.03346673
              -15               45            -22.4        2.6592975       0.92596984        2.5689297        1.4110308     -0.042094216      -0.22734796
               15               45            -22.4        4.7840581         2.861176     -0.042635955      0.077694871     0.0050623096      0.019523457
               45               45            -22.4         2.726275         1.054858       -2.7177007       -1.2791997      0.010807217       0.21729697
               75               45            -22.4       0.95180511      0.056296874       -2.0566368      -0.18893321     -0.001459536      0.040726088
              105               45            -22.4       0.23891594     -0.030616025       -1.4516551       0.25759035    -0.0050422312    -0.0029527217
             -105               75            -22.4       0.14755675     -0.087019742        0.4606851      -0.23640871     0.0038207853     0.0028150028
              -75               75            -22.4       0.52916306      -0.23027328       0.68384773      -0.18311115    -0.0034661531    -0.0060171355
              -45               75            -22.4        1.1616093      -0.21527928       0.94447351      0.045152597    -0.0061140661     -0.011039992
              -15               75            -22.4        2.0952461       0.12087955        0.8977381       0.30343917     0.0013181329     -0.017755436
               15               75            -22.4        2.7370534       0.51571858     -0.040749513      0.048440978    -0.0069446811      0.000723604
               45               75            -22.4        2.0754128       0.18030852      -0.96881354       -0.1733489      0.016828023      0.033403281
               75               75            -22.4        1.0629598     -0.076947749       -1.0705637      0.040513877     0.0016162201      0.008089751
              105               75            -22.4        0.3104248     -0.056356337      -0.85952938       0.19381034    -0.0065371636    -0.0099844318
             -105              105            -22.4        0.1391532     -0.082717717       0.15156737       -0.0704116     -0.002125852    -0.0010291717
              -75              105            -22.4       0.49202058      -0.24416527       0.21870585     -0.063758709     -0.009706175    -0.0082945079
              -45              105            -22.4       0.98069882      -0.33778104       0.27569082    -0.0090842983     -0.012644351     -0.014082871
              -15              105            -22.4        1.4959999      -0.30830848       0.21898103      0.041142609    -0.0084995646     -0.012077936
               15              105            -22.4        1.7375665      -0.23191147    -0.0070408024      0.023297425    -0.0052587637    0.00046286674
               45              105            -22.4        1.4606879      -0.22443321      -0.24309558     0.0044858078     0.0083657596      0.013744826
               75              105            -22.4       0.86408144      -0.19145629      -0.31478113      0.042332791      0.010014416      0.012210236
              105              105            -22.4       0.26821804     -0.065451436      -0.26915619      0.063813545   -0.00049368013     0.0030880922
